config_id,basin_en,basin_cn,season,block_count,correlation_method,deseason_method,lag_days,observed_correlation,bootstrap_correlation_median,bootstrap_correlation_ci025,bootstrap_correlation_ci975,bootstrap_reps
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,9,0.2493068326,0.2486261725,0.209592253,0.2900014818,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,10,0.222635185,0.2217876315,0.1721925884,0.2709676921,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,11,0.1928619946,0.1919825375,0.138575688,0.2412011474,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,12,0.1732526309,0.1727902889,0.1137073562,0.225722596,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,13,0.1634319321,0.1626849025,0.1048981547,0.2155879736,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,14,0.1564605513,0.1560944915,0.1030471846,0.2038452774,2000
main_month_median_spearman,Ganjiang,赣江,All,14,spearman,month_median,15,0.1528336717,0.1518109292,0.1040221974,0.196043998,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,0,0.1411757676,0.1400879323,0.1048863977,0.1755423844,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,1,0.2858630567,0.2870820761,0.2113815844,0.3479831815,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,2,0.3327987219,0.3344149292,0.2426914275,0.4109877944,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,3,0.2960952495,0.2975731492,0.2076737434,0.3748503923,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,4,0.2583756518,0.2591314614,0.175276041,0.3335106373,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,5,0.2310456128,0.2312165797,0.1608507782,0.2976088524,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,6,0.2000175339,0.1999022663,0.1438114047,0.2533453405,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,7,0.1790013043,0.1788267791,0.120301351,0.2291990668,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,8,0.1698074578,0.1687286198,0.1127549186,0.2225083411,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,9,0.1615333181,0.1595454216,0.1127072349,0.2126921713,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,10,0.1495926286,0.1479282975,0.1073850244,0.1942614019,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,11,0.1258600423,0.1238928586,0.08892807364,0.1643010378,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,12,0.107812857,0.1062159389,0.06824803352,0.1517191082,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,13,0.08660097456,0.08535893261,0.04260169342,0.1319436729,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,14,0.07839983669,0.07720916718,0.0359534733,0.1195720807,2000
main_month_median_spearman,Le'anhe,乐安河,All,14,spearman,month_median,15,0.0596479285,0.05789293721,0.008247977123,0.1066406816,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,0,0.2012745166,0.2014520168,0.1708111316,0.2276335508,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,1,0.3709386941,0.3735787868,0.3236188293,0.4175112844,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,2,0.3528938347,0.3557843864,0.3092676997,0.3932049274,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,3,0.2829718531,0.2839975357,0.2513407171,0.3165579438,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,4,0.2349247318,0.2350226045,0.2043155432,0.2688310742,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,5,0.2056842737,0.2061096728,0.1750163138,0.2353588641,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,6,0.1764214468,0.175994128,0.1455331296,0.2055104822,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,7,0.1669080307,0.1662240028,0.1324288696,0.1995529234,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,8,0.1686216371,0.1680802107,0.132327199,0.2023253292,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,9,0.151808328,0.1508984119,0.1160177216,0.1845659614,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,10,0.1344510183,0.1335423589,0.09898345917,0.1673639864,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,11,0.1198078101,0.1185845137,0.08424554765,0.1544281542,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,12,0.1114261848,0.1096277088,0.07595466077,0.1460353136,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,13,0.1133144607,0.1123310924,0.07508664578,0.1485473216,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,14,0.1092383173,0.1085093319,0.06583761424,0.1456249505,2000
main_month_median_spearman,Liaohe,潦河,All,14,spearman,month_median,15,0.09931058698,0.09848703444,0.05016460642,0.1356418282,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,0,0.194202456,0.1940371096,0.1651573777,0.2152645588,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,1,0.3693401137,0.3694911599,0.3518378139,0.3889789879,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,2,0.442719948,0.4437475204,0.4254003465,0.4632804394,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,3,0.3927632916,0.393586576,0.371258378,0.4177910984,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,4,0.3298311229,0.3292299509,0.3078803718,0.3555994034,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,5,0.2832403893,0.2821528316,0.2569821477,0.3109921813,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,6,0.2514730351,0.2500896454,0.2235964984,0.2789026201,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,7,0.22599548,0.2254773974,0.1984878331,0.2509881854,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,8,0.2066105117,0.2061047554,0.1717060655,0.2353671491,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,9,0.1950959147,0.1946474612,0.1519114822,0.2295186073,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,10,0.1762158325,0.1756761074,0.1314395368,0.2121792138,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,11,0.1570964381,0.1572764218,0.1135608256,0.1911774278,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,12,0.1322583268,0.1332782805,0.08461613953,0.1671410501,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,13,0.1237330887,0.124434948,0.07918532938,0.1570683271,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,14,0.1150625074,0.1140394509,0.07159613073,0.1502267718,2000
main_month_median_spearman,Xinjiang,信江,All,14,spearman,month_median,15,0.09773279656,0.09612586349,0.0529525578,0.1350455433,2000
main_month_median_spearman,Xiushui,修水,All,14,spearman,month_median,0,0.07015381564,0.06955116987,0.02201815136,0.1158977523,2000
