config_id,basin_en,basin_cn,season,block_count,correlation_method,deseason_method,search_max_lag_days,observed_best_lag_days,observed_max_correlation,bootstrap_max_correlation_median,bootstrap_max_correlation_ci025,bootstrap_max_correlation_ci975,bootstrap_best_lag_mode_days,bootstrap_mode_probability,bootstrap_best_lag_ci025,bootstrap_best_lag_ci975,bootstrap_best_lag_ci_width_days,near_peak_001_lag_ranges,near_peak_002_lag_ranges,stability_class,bootstrap_reps
full2020_month_median_spearman,Fuhe,抚河,Winter,14,spearman,month_median,15,4,0.3576690435,0.3599159718,0.2698771112,0.4623081267,4,0.516,3,6,3,3-4,3-5,稳定,2000
full2020_month_median_spearman,Fuhe,抚河,Winter,14,spearman,month_median,20,4,0.3576690435,0.3599159718,0.2698771112,0.4623081267,4,0.516,3,6,3,3-4,3-5,稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,All,15,spearman,month_median,10,5,0.3314641335,0.3343939036,0.3060008802,0.3611849792,5,0.5275,4,5,1,4-5,4-6,稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,All,15,spearman,month_median,15,5,0.3314641335,0.3343939036,0.3060008802,0.3611849792,5,0.5275,4,5,1,4-5,4-6,稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,All,15,spearman,month_median,20,5,0.3314641335,0.3343939036,0.3060008802,0.3611849792,5,0.5275,4,5,1,4-5,4-6,稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,Autumn,15,spearman,month_median,10,5,0.3387205167,0.3429765254,0.2658795826,0.4227139212,5,0.299,3,8,5,4-6,4-8,不稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,Autumn,15,spearman,month_median,15,5,0.3387205167,0.3429765254,0.2658795826,0.4227139212,5,0.299,3,8,5,4-6,4-8,不稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,Autumn,15,spearman,month_median,20,5,0.3387205167,0.3429765254,0.2658795826,0.4227139212,5,0.299,3,8,5,4-6,4-8,不稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,Spring,15,spearman,month_median,10,5,0.3716341841,0.3737744093,0.3311341189,0.4133945048,5,0.7805,3,6,3,5-6,4-6,稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,Spring,15,spearman,month_median,15,5,0.3716341841,0.3737744093,0.3311341189,0.4133945048,5,0.7805,3,6,3,5-6,4-6,稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,Spring,15,spearman,month_median,20,5,0.3716341841,0.3737744093,0.3311341189,0.4133945048,5,0.7805,3,6,3,5-6,4-6,稳定,2000
full2020_month_median_spearman,Ganjiang,赣江,Summer,15,spearman,month_median,10,4,0.3710644662,0.3749960661,0.3020261854,0.4448756859,4,0.914,3,4,1,4,3-4,稳定,2000
