config_id,basin_en,basin_cn,season,block_count,correlation_method,deseason_method,search_max_lag_days,lag_days,probability,bootstrap_reps,scenario_id,scenario_label
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,0,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,1,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,2,1,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,3,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,4,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,5,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,6,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,7,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,8,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,9,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,10,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,11,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,12,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,13,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,14,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Changjiang,昌江,All,14,spearman,month_median,15,15,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,0,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,1,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,2,0.9985,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,3,0.0015,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,4,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,5,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,6,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,7,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,8,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
main_month_median_spearman,Fuhe,抚河,All,14,spearman,month_median,15,9,0,2000,baseline,基准：2006-2019月份中位数异常Spearman，0-15天
