config_id,basin_en,basin_cn,season,block_count,correlation_method,deseason_method,lag_days,observed_correlation,bootstrap_correlation_median,bootstrap_correlation_ci025,bootstrap_correlation_ci975,bootstrap_reps
main_month_median_spearman,Changjiang,昌江,Summer,14,spearman,month_median,8,0.1891821877,0.1862399578,0.1073801592,0.2584840655,2000
main_month_median_spearman,Changjiang,昌江,Summer,14,spearman,month_median,9,0.1663881197,0.1632146537,0.09598335624,0.2244148105,2000
main_month_median_spearman,Changjiang,昌江,Summer,14,spearman,month_median,10,0.1430792434,0.1381304115,0.07580097765,0.204358086,2000
main_month_median_spearman,Changjiang,昌江,Summer,14,spearman,month_median,11,0.1184442799,0.1147656143,0.04530901834,0.1853107214,2000
main_month_median_spearman,Changjiang,昌江,Summer,14,spearman,month_median,12,0.09322580604,0.08944642544,0.009594485164,0.1631811112,2000
main_month_median_spearman,Changjiang,昌江,Summer,14,spearman,month_median,13,0.05783853983,0.05291009694,-0.0352695249,0.1362167895,2000
main_month_median_spearman,Changjiang,昌江,Summer,14,spearman,month_median,14,0.03178429335,0.02628977597,-0.05599495396,0.1038750187,2000
main_month_median_spearman,Changjiang,昌江,Summer,14,spearman,month_median,15,0.0285188374,0.02441554889,-0.04632556066,0.09552238137,2000
main_month_median_spearman,Changjiang,昌江,Winter,13,spearman,month_median,0,0.263853139,0.2598421872,0.1721687615,0.3564494252,2000
main_month_median_spearman,Changjiang,昌江,Winter,13,spearman,month_median,1,0.3134420648,0.3114513457,0.2312447429,0.403606683,2000
main_month_median_spearman,Changjiang,昌江,Winter,13,spearman,month_median,2,0.3398558138,0.3378549218,0.2633584738,0.4307508767,2000
main_month_median_spearman,Changjiang,昌江,Winter,13,spearman,month_median,3,0.3391296626,0.3370827138,0.2666854262,0.4202940464,2000
main_month_median_spearman,Changjiang,昌江,Winter,13,spearman,month_median,4,0.3362423648,0.3342936039,0.2587197125,0.4144578278,2000
main_month_median_spearman,Changjiang,昌江,Winter,13,spearman,month_median,5,0.3261047073,0.3237319589,0.230349049,0.4156101942,2000
main_month_median_spearman,Changjiang,昌江,Winter,13,spearman,month_median,6,0.3266074036,0.3225428164,0.2311721146,0.4171717763,2000
main_month_median_spearman,Changjiang,昌江,Winter,13,spearman,month_median,7,0.3320456699,0.3261376619,0.2416584939,0.4199366271,2000
main_month_median_spearman,Changjiang,昌江,Winter,13,spearman,month_median,8,0.3189618343,0.3144282997,0.2310567051,0.398991555,2000
main_month_median_spearman,Changjiang,昌江,Winter,13,spearman,month_median,9,0.3035457281,0.2993192077,0.2213496268,0.3752200007,2000
